TERITORIJA;KADASTRA_NR;IPASUMA_TIPS;DARIJUMA_SUMMA;KADASTRALA_VERTIBA;PLATIBA;DOM_SK;DOM_SAUC
Daugavpils;05000312529;Zemes un ēkas nekustams īpašums;1750;2663;0.0598;1;1
Liepāja;17000320311;Zemes nekustams īpašums;500;10754;0.063;1;21
Rucavas nov.;64840030632;Zemes un ēkas nekustams īpašums;4500;3552;0.071;0;0
Lielvārdes nov.;74130010788;Zemes nekustams īpašums;4272;4272;0.12;1;1
Rīga;01000730491;Zemes nekustams īpašums;2090;1939;0.0086;1;3
Rīga;01000702385;Zemes nekustams īpašums;1045;273798;0.5668;124;32443
Salaspils nov.;80310030395;Zemes nekustams īpašums;2800;7067;0.1973;1;1
Jūrmala;13000142906;Zemes un ēkas nekustams īpašums;30000;110607;0.1347;1;2
Jelgava;09000040010;Zemes nekustams īpašums;1000;1870;0.0146;1;2
Jūrmala;13000204111;Zemes un ēkas nekustams īpašums;70000;104209;0.2389;1;2
Olaines nov.;80800210210;Zemes nekustams īpašums;1000;1739;0.061;1;2
Mārupes nov.;80760072897;Zemes nekustams īpašums;26000;7994;0.1249;1;1
Jelgava;09000030086;Zemes un ēkas nekustams īpašums;8000;46317;0.1278;1;2
Ķekavas nov.;80700082139;Zemes nekustams īpašums;6000;12047;0.2682;1;2
Kuldīgas nov.;62010140001;Zemes un ēkas nekustams īpašums;19000;98664;0.1536;1;2
Krāslavas nov.;60010021125;Zemes un ēkas nekustams īpašums;2000;2680;0.0277;1;1
Salaspils nov.;80310130777;Zemes nekustams īpašums;5370;5168;0.1274;1;1
Rīga;01000782217;Zemes nekustams īpašums;10;97809;0.3551;335;37806
Rīga;01000350117;Zemes un ēkas nekustams īpašums;134000;582481;0.1238;5940;93179
Rīga;01000240355;Zemes nekustams īpašums;5436.3;679536;0.4514;1;100
Jūrmala;13000220112;Zemes nekustams īpašums;192.73;244182;37.7932;8901;7558640
Olaines nov.;80800180538;Zemes nekustams īpašums;1770;1710;0.06;1;1
Rucavas nov.;64840080142;Zemes un ēkas nekustams īpašums;8500;21287;3.1;1;2
Rīga;01001122030;Zemes nekustams īpašums;50;7234;0.0338;478;54109
Daugavpils;05000093803;Zemes nekustams īpašums;150;3837;0.1152;220;7163
Daugavpils;05000313216;Zemes un ēkas nekustams īpašums;2000;2830;0.0493;1;1
Jūrmala;13000160602;Zemes un ēkas nekustams īpašums;141600;1377409;0.3259;129;5000
Rīga;01001120033;Zemes nekustams īpašums;70;9280;0.0741;1229;59937
Rīga;01000702306;Zemes nekustams īpašums;170162;170162;0.4496;1;1
Ropažu nov.;80840180813;Zemes nekustams īpašums;20000;3489;3.4577;1;2
Rīga;01001202485;Zemes nekustams īpašums;350;487;0.0886;1;7
Jūrmala;13000163716;Zemes nekustams īpašums;5200;49464;0.3207;1;1
Babītes nov.;80480010050;Zemes un ēkas nekustams īpašums;150000;77931;1.15;1;1
Garkalnes nov.;80600120411;Zemes un ēkas nekustams īpašums;326700;95508;0.252;1;1
Rīga;01000892000;Zemes un ēkas nekustams īpašums;47000;1729130;0.365;33;5074
Olaines nov.;80800080305;Zemes un ēkas nekustams īpašums;7716.83;39441;0.198;1;3
Rīga;01000782032;Zemes nekustams īpašums;14918;465267;1.6552;682;227735
Jūrmala;13000081106;Zemes un ēkas nekustams īpašums;200000;5020904;0.6997;69;10000
Jelgava;09000160298;Zemes un ēkas nekustams īpašums;14000;10276;0.0652;1;1
Limbažu nov.;66760132022;Zemes un ēkas nekustams īpašums;20000;14560;0.0671;1;1
Rīga;01000992367;Zemes nekustams īpašums;4500;220747;0.6206;4;195
Daugavpils;05000371934;Zemes un ēkas nekustams īpašums;12500;14296;0.0893;1;2
Olaines nov.;80800210061;Zemes nekustams īpašums;4538.96;1710;0.06;1;1
Līvānu nov.;76520010193;Zemes nekustams īpašums;40000;5546;0.5253;1;2
Rīga;01000160069;Zemes nekustams īpašums;1800;120090;0.2772;423;28666
Daugavpils;05000040060;Zemes nekustams īpašums;109.2;8;0.0035;7;25
Ventspils ;27000270257;Zemes un ēkas nekustams īpašums;5002;5002;0.0897;1;1
Salaspils nov.;80310070146;Zemes nekustams īpašums;1500;1397;0.049;1;1
Rīga;01001254290;Zemes un ēkas nekustams īpašums;13500;13575;0.0954;1;1
Olaines nov.;80800060131;Zemes nekustams īpašums;103.87;2776;0.065;1;1
Siguldas nov.;80150021430;Zemes nekustams īpašums;17000;15340;0.2278;1;2
Rīga;01000262035;Zemes un ēkas nekustams īpašums;35000;1420670;0.7232;32;13983
Jūrmala;13000142407;Zemes un ēkas nekustams īpašums;150000;166114;0.191;1;2
Jūrmala;13000103605;Zemes un ēkas nekustams īpašums;1487;482472;1.5315;93;30175
Ventspils ;27000110620;Zemes nekustams īpašums;12000;11514;0.071;1;1
Rīga;01000172063;Zemes un ēkas nekustams īpašums;9400;369985;0.2158;1;625
Stopiņu nov.;80960040006;Zemes nekustams īpašums;7000;515;1.9;1;2
Jūrmala;13000161405;Zemes nekustams īpašums;10000;244076;0.5361;158;1787
Ludzas nov.;68460070428;Zemes un ēkas nekustams īpašums;2000;4926;0.096;1;1
Siguldas nov.;80150031516;Zemes nekustams īpašums;24760;15868;0.168;3317;110657
Jelgavas nov.;54520031133;Zemes un ēkas nekustams īpašums;18500;4376;0.088;1;1
Rīga;01001253448;Zemes nekustams īpašums;3000;9375;0.0724;1;1
Rīga;01000782207;Zemes nekustams īpašums;2500;64415;0.2572;411;40418
Rīga;01001214030;Zemes nekustams īpašums;1300;151670;0.4264;3106;390745
Jelgava;09000240540;Zemes nekustams īpašums;5500;4412;0.1284;1;1
Rīga;01000230077;Zemes un ēkas nekustams īpašums;75217;1102344;0.1264;433;26914
Jūrmala;13000081701;Zemes nekustams īpašums;1000;163360;0.3154;1;250
Rīga;01000710114;Zemes nekustams īpašums;44000;1062736;2.3941;292;77941
Jūrmala;13000077405;Zemes un ēkas nekustams īpašums;43000;52778;0.0596;7;18
Olaines nov.;80800021131;Zemes un ēkas nekustams īpašums;8000;14351;0.0651;1;1
Bauskas nov.;40680030291;Zemes un ēkas nekustams īpašums;600;465;0.0044;1;1
Stopiņu nov.;80960040006;Zemes nekustams īpašums;7000;515;1.9;1;2
Rīga;01000930178;Zemes nekustams īpašums;40000;23621;0.1412;1;1
Rīga;01000660023;Zemes nekustams īpašums;17900;50787;0.2075;1;1
Jelgavas nov.;54520031661;Zemes un ēkas nekustams īpašums;1600;1767;0.062;1;1
Inčukalna nov.;80640020501;Zemes un ēkas nekustams īpašums;2281;1758;0.0617;1;1
Ogres nov.;74010060796;Zemes nekustams īpašums;200;119;0.1031;1;108
Ogres nov.;74010060803;Zemes nekustams īpašums;1000;11130;0.5136;1;83
Babītes nov.;80480080192;Zemes nekustams īpašums;47960;6842;0.1249;1;1
Jūrmala;13000083509;Zemes un ēkas nekustams īpašums;250100;508137;0.1975;94;1975
Olaines nov.;80800180543;Zemes nekustams īpašums;4000;1701;0.0597;1;1
Babītes nov.;80480010065;Zemes nekustams īpašums;3750;2046;1.68;1;126
Rīga;01000822116;Zemes nekustams īpašums;6000;72315;0.2364;1991;185379
Babītes nov.;80480080082;Zemes nekustams īpašums;1000;18846;0.2316;1;2
Olaines nov.;80800190107;Zemes un ēkas nekustams īpašums;1000;1712;0.066;1;1
Rīga;01000790393;Zemes nekustams īpašums;2000;214885;0.8173;7;1732
Rīga;01000030081;Zemes nekustams īpašums;3612.5;214658;0.0398;104;14873
Daugavpils nov.;44880060028;Zemes un ēkas nekustams īpašums;11000;3038;0.2951;1;1
Daugavpils;05000093601;Zemes nekustams īpašums;152.42;9150;0.2783;218;15489
Daugavpils nov.;44720070152;Zemes un ēkas nekustams īpašums;3000;2264;0.0534;1;1
Salaspils nov.;80310030028;Zemes un ēkas nekustams īpašums;34000;26969;0.23;1;2
Krāslavas nov.;60620040335;Zemes nekustams īpašums;267.08;239;0.4861;153;401
Rīga;01000912255;Zemes nekustams īpašums;2126.07;110857;0.4869;461;33241
Alūksnes nov.;36010345736;Zemes nekustams īpašums;100;11219;0.9081;128;14759
Jūrmala;13000085303;Zemes un ēkas nekustams īpašums;404000;100361;0.0933;1;1
Jelgavas nov.;54520030442;Zemes nekustams īpašums;3200;2309;0.081;1;1
Garkalnes nov.;80600030882;Zemes nekustams īpašums;46500;29;0.1501;1;1
Jūrmala;13000095108;Zemes un ēkas nekustams īpašums;250000;6368512;1.5462;815;181514
Olaines nov.;80800080286;Zemes nekustams īpašums;1811.32;14908;0.2894;1;1
Rīga;01000722313;Zemes nekustams īpašums;1000;2914;0.0064;202;13233
Daugavpils;05000094601;Zemes nekustams īpašums;140.53;10159;0.3081;260;17739
Salaspils nov.;80110040972;Zemes un ēkas nekustams īpašums;200;208;0.1485;1;8
Rīga;01001140469;Zemes nekustams īpašums;300;14190;0.1779;963;29650
Saulkrastu nov.;80330031529;Zemes un ēkas nekustams īpašums;4750;9427;0.082;1;2
Daugavpils nov.;44880060341;Zemes un ēkas nekustams īpašums;4000;931;3.47;1;1
Jelgava;09000160199;Zemes nekustams īpašums;1300;1357;0.0578;1;2
Engures nov.;90660010007;Zemes un ēkas nekustams īpašums;133000;63666;0.12;1;1
Engures nov.;90660010366;Zemes nekustams īpašums;20000;28;0.164;1;1
Jūrmala;13000094402;Zemes nekustams īpašums;36000;81239;0.1308;34963;130800
Ventspils nov.;98660040074;Zemes nekustams īpašums;744.88;235;0.4;1;1
Liepāja;17000020270;Zemes un ēkas nekustams īpašums;51278;51278;0.4819;1;1
Burtnieku nov.;96900080039;Zemes nekustams īpašums;5000;5000;0.1171;1;2
Salaspils nov.;80110041188;Zemes nekustams īpašums;600;17008;0.171;376;17361
Babītes nov.;80480070395;Zemes nekustams īpašums;153216;47249;0.12;1;1
Ķekavas nov.;80700030358;Zemes nekustams īpašums;2000;4512;0.0453;1;1
Grobiņas nov.;64760021741;Zemes nekustams īpašums;1592;1302;0.0486;1;1
Rīga;01000722313;Zemes nekustams īpašums;38;2914;0.0064;46;3609
Rīga;01001202658;Zemes nekustams īpašums;3500;46098;0.2;1;2
