TERITORIJA;KADASTRA_NR;IPASUMA_TIPS;DARIJUMA_SUMMA;KADASTRALA_VERTIBA;PLATIBA;DOM_SK;DOM_SAUC
Rīga;01000230077;Zemes un ēkas nekustams īpašums;67900;1102344;0.1264;194;13457
Rīga;01001212497;Zemes nekustams īpašums;154600;119094;0.0655;1;1
Skrīveru nov.;32820020069;Zemes un ēkas nekustams īpašums;70000;19234;11.87;1;1
Rīga;01000600125;Zemes un ēkas nekustams īpašums;67950;3544795;1.1439;40;11439
Babītes nov.;80480030774;Zemes un ēkas nekustams īpašums;185000;50199;0.03;1;1
Daugavpils nov.;44680070088;Zemes un ēkas nekustams īpašums;1843;1843;0.0642;1;1
Carnikavas nov.;80520041060;Zemes nekustams īpašums;30000;9284;0.1741;1;1
Salaspils nov.;80310130539;Zemes un ēkas nekustams īpašums;3600;2840;0.0665;1;1
Garkalnes nov.;80600111068;Zemes nekustams īpašums;5000;10604;0.2094;1;2
Rīga;01000712586;Zemes nekustams īpašums;293;152274;0.2973;369;191632
Ventspils ;27000260508;Zemes un ēkas nekustams īpašums;4500;71029;0.1665;1;1
Valkas nov.;94880100220;Zemes un ēkas nekustams īpašums;2146.57;374;0.1589;1;1
Olaines nov.;80800180229;Zemes un ēkas nekustams īpašums;16000;7289;0.0668;1;1
Dobeles nov.;46010056707;Zemes un ēkas nekustams īpašums;11500;7748;0.1046;1;1
Ķekavas nov.;80700110463;Zemes nekustams īpašums;200;186;1.55;1;2
Ķekavas nov.;80700110463;Zemes nekustams īpašums;200;186;1.55;1;1
Saulkrastu nov.;80330031300;Zemes un ēkas nekustams īpašums;21800;21621;0.0719;1;1
Mārupes nov.;80760120383;Zemes nekustams īpašums;37000;6955;0.17;1;1
Rīga;01000922266;Zemes nekustams īpašums;100;56884;0.2596;305;35418
Rīga;01000922569;Zemes un ēkas nekustams īpašums;500;373330;0.2603;1;160
Olaines nov.;80800210210;Zemes nekustams īpašums;1000;1739;0.061;1;2
Rīga;01001230116;Zemes nekustams īpašums;15800;487419;3.481;6087121;1824670580
Rīga;01001212529;Zemes nekustams īpašums;255;66921;0.2023;260;68321
Rīga;01000480164;Zemes nekustams īpašums;900;1212455;6.4238;61;78343
Olaines nov.;80800020464;Zemes un ēkas nekustams īpašums;11500;7430;0.0824;1;1
Balvu nov.;38010010198;Zemes nekustams īpašums;1130;375;0.0379;1;1
Dobeles nov.;46460110300;Zemes nekustams īpašums;500;740;0.0649;1;1
Rīga;01000240389;Zemes nekustams īpašums;746.25;92591;0.0925;2869;275838
Mārupes nov.;80760071590;Zemes nekustams īpašums;3000;132136;1.0053;408;25145
Olaines nov.;80800200647;Zemes un ēkas nekustams īpašums;750;3302;0.0581;1;1
Līvānu nov.;76110031507;Zemes un ēkas nekustams īpašums;89000;14543;0.1859;0;0
Salaspils nov.;80310131123;Zemes nekustams īpašums;2000;5055;0.1301;1;2
Ventspils ;27000270064;Zemes nekustams īpašums;2784;2178;0.0696;1;1
Carnikavas nov.;80520081762;Zemes nekustams īpašums;18000;7686;0.1201;1;1
Jūrmala;13000148106;Zemes nekustams īpašums;4000;56188;0.2194;67;2194
Rīga;01001132114;Zemes un ēkas nekustams īpašums;15600;1052950;0.4866;6;1627
Rīga;01000190123;Zemes un ēkas nekustams īpašums;110000;1733912;0.1814;110;3357
Ropažu nov.;80840070039;Zemes un ēkas nekustams īpašums;24400;24401;0.7102;1;1
Rīga;01000702339;Zemes nekustams īpašums;835;298118;0.4924;3358;1198011
Rīga;01001211561;Zemes nekustams īpašums;2614;14158;0.1202;93;1439
Daugavpils;05000094501;Zemes nekustams īpašums;223.45;8743;0.2625;383;17066
Rīga;01001132075;Zemes un ēkas nekustams īpašums;144000;68615;0.1281;1;1
Babītes nov.;80480040899;Zemes nekustams īpašums;14000;13375;0.1258;1;1
Madonas nov.;70010010285;Zemes nekustams īpašums;200;10857;1.1474;1;145
Siguldas nov.;80420010250;Zemes nekustams īpašums;3300;6637;0.0743;1;1
Rīga;01000350117;Zemes un ēkas nekustams īpašums;60850;582481;0.1238;2670;93179
Daugavpils;05000310139;Zemes un ēkas nekustams īpašums;7200;3747;0.0575;1;1
Rīga;01001253679;Zemes nekustams īpašums;44000;41503;0.0584;1;1
Rīga;01000240209;Zemes un ēkas nekustams īpašums;55500;643279;0.1425;58;1045
Jelgava;09000280176;Zemes nekustams īpašums;4200;4125;0.0843;1;1
Ilūkstes nov.;44540090027;Zemes nekustams īpašums;0;1415;2.1;1;1
Liepāja;17000310051;Zemes un ēkas nekustams īpašums;50000;11384;0.0391;1;1
Siguldas nov.;80940030106;Zemes nekustams īpašums;75000;32690;0.6572;1;1
Garkalnes nov.;80600030880;Zemes nekustams īpašums;46500;29;0.1501;1;1
Liepāja;17000330140;Zemes un ēkas nekustams īpašums;59000;88888;0.2238;1;2
Olaines nov.;80800070240;Zemes nekustams īpašums;18500;4556;0.1648;1;1
Saulkrastu nov.;80130020193;Zemes nekustams īpašums;100000;125004;0.9508;1823;95080
Rīga;01001132114;Zemes un ēkas nekustams īpašums;41000;1052950;0.4866;37;4881
Rīga;01000640161;Zemes nekustams īpašums;140;16028;0.0722;379;58643
Daugavpils;05000314003;Zemes un ēkas nekustams īpašums;3775;3775;0.0476;1;1
Rīga;01001000073;Zemes un ēkas nekustams īpašums;9500;19605;0.0818;1;2
Daugavpils;05000151906;Zemes un ēkas nekustams īpašums;6500;6558;0.0603;1;1
Salaspils nov.;80110040967;Zemes nekustams īpašums;15000;13576;0.1205;1;1
Ķekavas nov.;80700181684;Zemes un ēkas nekustams īpašums;5200;5499;0.0846;1;1
Daugavpils nov.;44860010264;Zemes un ēkas nekustams īpašums;1067;776;0.2715;1;1
Liepāja;17000330004;Zemes nekustams īpašums;1060.34;30512;0.134;165;4748
Rīga;01001212654;Zemes nekustams īpašums;10000;96749;0.0568;1;10
Jēkabpils;56010020457;Zemes un ēkas nekustams īpašums;2276.6;2330;0.0661;1;1
Babītes nov.;80480010961;Zemes nekustams īpašums;25000;14911;0.12;1;1
Garkalnes nov.;80600030881;Zemes nekustams īpašums;46500;29;0.1501;1;1
Jūrmala;13000092111;Zemes nekustams īpašums;36000;132153;0.359;183;5000
Daugavpils nov.;44940050230;Zemes un ēkas nekustams īpašums;8000;7406;1.67;1;1
Rīga;01000260064;Zemes un ēkas nekustams īpašums;50000;565797;0.08;11;125
Ogres nov.;74560060048;Zemes un ēkas nekustams īpašums;55000;11580;13.3;1;1
Rīga;01000782191;Zemes nekustams īpašums;250;131221;0.4905;3154;279019
Mārupes nov.;80760072950;Zemes nekustams īpašums;27500;12733;0.1506;1;2
Olaines nov.;80800230584;Zemes nekustams īpašums;500;1653;0.058;1;1
Mārupes nov.;80760071584;Zemes nekustams īpašums;13226;62278;0.5212;1002;23093
Daugavpils;05000341236;Zemes un ēkas nekustams īpašums;130500;31370;0.1823;1;1
Pļaviņu nov.;32130010245;Zemes nekustams īpašums;711.44;2209;0.1779;1;1
Dagdas nov.;60560030104;Zemes un ēkas nekustams īpašums;2500;48517;2.8;8;25
Sējas nov.;80920010421;Zemes nekustams īpašums;8300;3653;0.2;1;1
Jelgava;09000090154;Zemes un ēkas nekustams īpašums;25000;27777;0.1025;1;1
Rīga;01000210026;Zemes un ēkas nekustams īpašums;116000;306782;0.1246;15;1000
Olaines nov.;80800160579;Zemes nekustams īpašums;384.18;1707;0.0599;1;1
Kārsavas nov.;68720050240;Zemes un ēkas nekustams īpašums;600;593;0.2333;1;1
Ogres nov.;74800050560;Zemes nekustams īpašums;2500;2220;0.052;1;1
Rīga;01000722312;Zemes nekustams īpašums;4.66;778;0.0071;697;116472
Rīga;01000350117;Zemes un ēkas nekustams īpašums;41082;582481;0.1238;1995;93179
Ventspils ;27000142110;Zemes nekustams īpašums;14000;13782;0.1681;1;1
Burtnieku nov.;96900080035;Zemes un ēkas nekustams īpašums;245000;50234;0.1158;1;1
Garkalnes nov.;80600030081;Zemes un ēkas nekustams īpašums;250000;93815;0.1939;1;1
Ventspils nov.;98660160017;Zemes un ēkas nekustams īpašums;27000;9024;5.4;1;1
Jūrmala;13000174117;Zemes nekustams īpašums;50000;73100;0.9831;1;1
Jelgavas nov.;54520031060;Zemes nekustams īpašums;7000;5578;0.063;1;1
Jūrmala;13000170082;Zemes nekustams īpašums;3000;25860;0.2399;1;2
Pāvilostas nov.;64960050047;Zemes un ēkas nekustams īpašums;12000;9913;3.0001;1;2
Rīga;01000340131;Zemes un ēkas nekustams īpašums;44500;329232;0.2737;1;40
Garkalnes nov.;80600030884;Zemes nekustams īpašums;46500;29;0.1501;1;1
Babītes nov.;80480030673;Zemes un ēkas nekustams īpašums;200000;56489;0.03;1;1
Jelgavas nov.;54620100683;Zemes nekustams īpašums;2500;1866;0.07;1;1
Daugavpils;05000093601;Zemes nekustams īpašums;172.7;9150;0.2783;247;15489
Carnikavas nov.;80520060513;Zemes un ēkas nekustams īpašums;29500;16122;0.0601;1;1
Rīga;01000910329;Zemes un ēkas nekustams īpašums;2000;369788;0.5865;120;18773
Rīga;01000100145;Zemes nekustams īpašums;2000;3169171;0.9875;53;286257
Daugavpils nov.;44680080269;Zemes un ēkas nekustams īpašums;1180;1021;0.0896;1;1
Daugavpils nov.;44740060013;Zemes un ēkas nekustams īpašums;91000;15311;0.12;1;1
Ventspils ;27000280053;Zemes nekustams īpašums;121.84;6783;0.1927;9;500
Vecpiebalgas nov.;42500050006;Zemes un ēkas nekustams īpašums;9182;9213;3.85;1;2
Rīga;01001211169;Zemes un ēkas nekustams īpašums;5400;1003024;2.5305;175;99542
Olaines nov.;80800080425;Zemes nekustams īpašums;1520;8937;0.2092;1;1
Cēsu nov.;42010071209;Zemes un ēkas nekustams īpašums;46570;93149;0.1718;1;2
Babītes nov.;80480010524;Zemes nekustams īpašums;200;52;0.0657;1;63
Rīga;01000600125;Zemes un ēkas nekustams īpašums;72800;3376900;1.1439;16;3813
Jūrmala;13000170082;Zemes nekustams īpašums;3000;25860;0.2399;1;2
Rīga;01001160163;Zemes nekustams īpašums;11990.26;123100;0.1979;15;154
Ventspils nov.;98660081688;Zemes nekustams īpašums;1100;1182;0.0594;1;1
Jūrmala;13000030701;Zemes nekustams īpašums;742947;285590;0.6451;1;1
Stopiņu nov.;80960050093;Zemes un ēkas nekustams īpašums;1750;270549;0.9998;212;54685
Saldus nov.;84700030007;Zemes un ēkas nekustams īpašums;8000;7994;0.2;1;1
Olaines nov.;80800180332;Zemes un ēkas nekustams īpašums;6500;8449;0.0786;3;4
Cēsu nov.;42010020312;Zemes nekustams īpašums;176.59;50186;1.7284;28;8233
Rīga;01000912254;Zemes nekustams īpašums;331.69;14939;0.1151;738;33239
Saulkrastu nov.;80330040286;Zemes un ēkas nekustams īpašums;8333;16450;0.0693;1;3
Liepāja;17000320014;Zemes un ēkas nekustams īpašums;125000;129615;0.0529;1;2
Rīga;01000710129;Zemes nekustams īpašums;800;257384;0.7445;29959;6464664
Rīga;01000722178;Zemes nekustams īpašums;372;29123;0.1163;46;3609
Rīga;01000300016;Zemes un ēkas nekustams īpašums;440000;2625474;0.1505;1;5
Rēzeknes nov.;78760010386;Zemes un ēkas nekustams īpašums;1000;2943;0.054;1;1
Rīga;01001132604;Zemes nekustams īpašums;7522;7522;0.0795;1;1
Garkalnes nov.;80600070200;Zemes un ēkas nekustams īpašums;395000;116229;0.152;1;1
Garkalnes nov.;80600030376;Zemes un ēkas nekustams īpašums;75000;85513;0.1321;1;2
Jūrmala;13000171505;Zemes un ēkas nekustams īpašums;460000;201553;0.1248;1;1
Babītes nov.;80880040220;Zemes nekustams īpašums;3500;4228;0.2399;1;1
Rīga;01001255033;Zemes un ēkas nekustams īpašums;17000;11438;0.0573;1;1
Rīga;01001072300;Zemes nekustams īpašums;51500;156653;0.6856;41;9378
Saulkrastu nov.;80130031416;Zemes nekustams īpašums;43000;10248;0.12;1;1
Ropažu nov.;80840080482;Zemes un ēkas nekustams īpašums;3000;23841;0.266;45;1388
Rīga;01001254316;Zemes un ēkas nekustams īpašums;17000;15592;0.055;1;1
Rīga;01000600125;Zemes un ēkas nekustams īpašums;58650;3544795;1.1439;13;3813
Inčukalna nov.;80640020289;Zemes un ēkas nekustams īpašums;4500;6501;0.0621;9;10
Rīga;01000330107;Zemes un ēkas nekustams īpašums;360000;342387;0.1562;305;781
Ķekavas nov.;80070021412;Zemes un ēkas nekustams īpašums;3500;484726;1.3624;213;68120
Rīga;01001212372;Zemes nekustams īpašums;500;140977;0.4308;154;13889
Liepāja;17000320255;Zemes un ēkas nekustams īpašums;68000;153360;0.0576;1;2
Rīga;01001214000;Zemes nekustams īpašums;7200;25777;0.0732;1;1
Burtnieku nov.;96480140059;Zemes nekustams īpašums;32000;6435;27.9;1;1
Rīga;01000662053;Zemes nekustams īpašums;10000;22720;0.1061;19;53
Rīga;01000240252;Zemes un ēkas nekustams īpašums;72000;1884695;0.1416;545;33398
Jaunjelgavas nov.;32500030219;Zemes nekustams īpašums;400;1345;0.2862;1;1
Ilūkstes nov.;44900020263;Zemes un ēkas nekustams īpašums;7500;1985;3;1;1
Rīga;01001254443;Zemes nekustams īpašums;4000;8074;0.0591;1;2
Jūrmala;13000101725;Zemes un ēkas nekustams īpašums;195000;2062975;0.56;2041;45876
Jūrmala;13000215804;Zemes un ēkas nekustams īpašums;110000;71009;0.6439;1;1
Daugavpils;05000043709;Zemes un ēkas nekustams īpašums;1400;2549;0.0603;1;2
Rīga;01000711602;Zemes nekustams īpašums;400;426089;1.1625;344;65371
Rīga;01000710114;Zemes nekustams īpašums;35000;1062736;2.3941;1023;389705
Olaines nov.;80800210833;Zemes nekustams īpašums;378.48;7624;0.059;1;1
Burtnieku nov.;96900050013;Zemes un ēkas nekustams īpašums;76835;20048;5.67;1;1
Stopiņu nov.;80960021646;Zemes nekustams īpašums;53845;31732;0.1257;1;2
Valmiera;96010011908;Zemes un ēkas nekustams īpašums;46500;30932;0.1061;1;2
Rīga;01000710129;Zemes nekustams īpašums;4641;257384;0.7445;833;119716
Jūrmala;13000011122;Zemes nekustams īpašums;7574;25427;0.401;717;4010
Talsu nov.;88940050239;Zemes nekustams īpašums;7202.68;1616;1.95;1;1
Jelgava;09000160387;Zemes un ēkas nekustams īpašums;70000;22599;0.0581;1;1
Rīga;01001230116;Zemes nekustams īpašums;8000;487419;3.481;5402017;3649341160
Kocēnu nov.;96440030015;Zemes un ēkas nekustams īpašums;99500;37943;5.15;1;1
Grobiņas nov.;64760020066;Zemes un ēkas nekustams īpašums;6000;4371;0.061;1;1
Rīga;01000250092;Zemes un ēkas nekustams īpašums;600;897771;0.1677;1;450
Jelgava;09000080257;Zemes un ēkas nekustams īpašums;79000;86757;0.0711;1;1
Jūrmala;13000147804;Zemes nekustams īpašums;75000;51578;0.2883;1;1
Jelgava;09000160261;Zemes nekustams īpašums;4000;4853;0.06;1;1
Ogres nov.;74010060803;Zemes nekustams īpašums;1000;11130;0.5136;1;83
Babītes nov.;80880040244;Zemes nekustams īpašums;3820;3599;0.148;1;1
Daugavpils;05000210201;Zemes un ēkas nekustams īpašums;70;15461;0.1985;1;100
Jūrmala;13000042604;Zemes nekustams īpašums;775000;100437;0.2076;1;1
Garkalnes nov.;80600010527;Zemes nekustams īpašums;500;9100;0.2256;181;1128
Limbažu nov.;66760133421;Zemes un ēkas nekustams īpašums;12000;14890;0.062;1;1
Garkalnes nov.;80600010525;Zemes nekustams īpašums;500;10354;0.2848;1113;2848
Jelgava;09000260141;Zemes un ēkas nekustams īpašums;13130;35035;0.1538;1;6
Olaines nov.;80800050106;Zemes nekustams īpašums;10000;10963;0.19;1;1
Rīga;01000350113;Zemes un ēkas nekustams īpašums;39000;908261;0.1253;490;53443
Jūrmala;13000011330;Zemes nekustams īpašums;9344;37283;0.6391;949;6391
Carnikavas nov.;80520070909;Zemes nekustams īpašums;24140;6167;0.2007;1;1
Salaspils nov.;80310130577;Zemes un ēkas nekustams īpašums;3000;2605;0.061;1;1
Limbažu nov.;66010010152;Zemes nekustams īpašums;7500;1425;0.0625;1;1
Saulkrastu nov.;80130020193;Zemes nekustams īpašums;1000;125004;0.9508;17;4754
Daugavpils nov.;44680060482;Zemes nekustams īpašums;200;362;0.0724;1;2
Olaines nov.;80800230822;Zemes nekustams īpašums;1500;1710;0.06;1;1
Jūrmala;13000087606;Zemes un ēkas nekustams īpašums;130000;127540;0.08;1;4
Salaspils nov.;80110041405;Zemes nekustams īpašums;500;125;0.162;1;7
Carnikavas nov.;80520030249;Zemes nekustams īpašums;15000;8897;0.078;1;1
Liepāja;17000330140;Zemes un ēkas nekustams īpašums;59000;88888;0.2238;1;2
Jūrmala;13000103010;Zemes un ēkas nekustams īpašums;45000;104087;0.2782;608;1391
Salaspils nov.;80310150036;Zemes nekustams īpašums;448.2;2324;0.0584;1;1
Salaspils nov.;80310131122;Zemes nekustams īpašums;2000;5106;0.1314;1;2
Salaspils nov.;80310070178;Zemes nekustams īpašums;1000;1616;0.0567;1;1
Daugavpils;05000102215;Zemes un ēkas nekustams īpašums;370;346;0.0048;1;1
Olaines nov.;80800170149;Zemes nekustams īpašums;6000;1854;0.0657;1;1
Rīga;01001122035;Zemes nekustams īpašums;50;21843;0.0969;478;54109
Līvānu nov.;76520010193;Zemes nekustams īpašums;40000;5546;0.5253;1;2
Olaines nov.;80800120398;Zemes un ēkas nekustams īpašums;2240;3151;0.0811;1;1
Rīga;01001202658;Zemes nekustams īpašums;3500;46098;0.2;1;2
Jūrmala;13000218102;Zemes un ēkas nekustams īpašums;3500;35267;0.1539;;
Ķekavas nov.;80700070478;Zemes nekustams īpašums;2500;40;0.289;1;2
Rīga;01000242064;Zemes nekustams īpašums;1;51364;0.0573;1313;91946
Daugavpils;05000061034;Zemes un ēkas nekustams īpašums;130;96;0.0041;1;1
Rīga;01001120031;Zemes nekustams īpašums;428.06;33645;0.1847;5233;411344
Daugavpils nov.;44600040834;Zemes un ēkas nekustams īpašums;1000;3117;0.0467;1;1
Grobiņas nov.;64760021307;Zemes un ēkas nekustams īpašums;13000;3713;0.062;1;1
Babītes nov.;80480040818;Zemes nekustams īpašums;36400;13290;0.125;1;1
Ķekavas nov.;80700180292;Zemes nekustams īpašums;4000;7120;0.059;1;1
Tukuma nov.;90010010499;Zemes nekustams īpašums;100;59999;1.2048;1120;102589
Babītes nov.;80480030693;Zemes un ēkas nekustams īpašums;315000;52501;0.03;1;1
Jūrmala;13000011326;Zemes nekustams īpašums;4400;34941;0.5904;935;11808
Jūrmala;13000160601;Zemes un ēkas nekustams īpašums;455000;836117;0.2045;1483;19029
Rīga;01000710806;Zemes un ēkas nekustams īpašums;155000;78754;0.0717;1;1
Daugavpils;05000220441;Zemes un ēkas nekustams īpašums;10000;6325;0.0537;1;1
Valmiera;96010011908;Zemes un ēkas nekustams īpašums;33500;30932;0.1061;1;2
Rēzeknes nov.;78560010585;Zemes un ēkas nekustams īpašums;4000;3524;0.0425;1;1
Carnikavas nov.;80520060356;Zemes un ēkas nekustams īpašums;200000;38194;0.0595;1;1
Dobeles nov.;46460030158;Zemes nekustams īpašums;11000;542;0.3146;1;1
Balvu nov.;38580060186;Zemes un ēkas nekustams īpašums;1521;341;0.2106;1;1
Rīga;01000652011;Zemes nekustams īpašums;1170;73336;0.3221;439;27571
Stopiņu nov.;80960021649;Zemes un ēkas nekustams īpašums;30250;29926;0.0901;1;2
Babītes nov.;80880050168;Zemes un ēkas nekustams īpašums;34000;51552;0.2126;1;3
Siguldas nov.;80420040315;Zemes nekustams īpašums;1250;2142;0.2522;1;1
Rīga;01000300097;Zemes un ēkas nekustams īpašums;120000;1806101;0.1268;1;30
Rucavas nov.;64520051048;Zemes nekustams īpašums;400;304;0.0533;1;1
Stopiņu nov.;80960020296;Zemes nekustams īpašums;7000;11;0.1009;1;1
Rīga;01000680283;Zemes un ēkas nekustams īpašums;1000;835763;2.5939;56;35437
Jūrmala;13000046509;Zemes un ēkas nekustams īpašums;250000;803837;0.3376;119;2743
Daugavpils;05000210201;Zemes un ēkas nekustams īpašums;6930;15461;0.1985;99;100
Jūrmala;13000164721;Zemes nekustams īpašums;12000;10909;0.0869;1;1
Daugavpils;05000047306;Zemes un ēkas nekustams īpašums;25650;9106;0.0606;1;1
Ventspils nov.;98660100714;Zemes un ēkas nekustams īpašums;4000;2152;0.0461;1;1
Garkalnes nov.;80600120276;Zemes un ēkas nekustams īpašums;380000;170960;0.4468;1;1
Olaines nov.;80800200647;Zemes un ēkas nekustams īpašums;750;3302;0.0581;1;2
Jelgava;09000030086;Zemes un ēkas nekustams īpašums;9000;46317;0.1278;1;2
Liepāja;17000230073;Zemes nekustams īpašums;168700;279386;2.0505;1;1
Jūrmala;13000095108;Zemes un ēkas nekustams īpašums;255000;6368512;1.5462;1061;181514
Salaspils nov.;80110041617;Zemes un ēkas nekustams īpašums;4700;765266;2.7846;192;120497
Saulkrastu nov.;80330010395;Zemes nekustams īpašums;30000;15832;0.178;1;1
Mārupes nov.;80760120811;Zemes nekustams īpašums;34000;27039;0.3;1;1
Salaspils nov.;80310050264;Zemes nekustams īpašums;10;205;0.5315;1;42
Olaines nov.;80800050122;Zemes nekustams īpašums;1;28;0.0504;1;28
Jūrmala;13000045006;Zemes un ēkas nekustams īpašums;749000;344282;0.2481;1;1
Jūrmala;13000160601;Zemes un ēkas nekustams īpašums;620000;836117;0.2045;2734;19029
Carnikavas nov.;80520021441;Zemes un ēkas nekustams īpašums;43000;26549;0.0772;1;1
Carnikavas nov.;80520030541;Zemes nekustams īpašums;50000;24848;0.6458;1;1
Daugavpils;05000011710;Zemes un ēkas nekustams īpašums;1000;6295;0.0804;1;1
Ludzas nov.;68010060332;Zemes nekustams īpašums;4500;4200;0.2726;1;2
Kuldīgas nov.;62010140001;Zemes un ēkas nekustams īpašums;80000;98664;0.1536;1;2
Rīga;01000642151;Zemes nekustams īpašums;260;38411;0.1467;379;58643
Salaspils nov.;80110041617;Zemes un ēkas nekustams īpašums;2000;765266;2.7846;193;120497
Rīga;01000930348;Zemes un ēkas nekustams īpašums;97000;12500593;1.1203;229;101374
Rīga;01001030309;Zemes nekustams īpašums;2200;5260;0.036;1;2
Rīga;01000670554;Zemes nekustams īpašums;195;70725;0.7396;201;73960
Jūrmala;13000217144;Zemes un ēkas nekustams īpašums;5000;29167;0.3311;99;500
Stopiņu nov.;80960030032;Zemes nekustams īpašums;141000;68641;0.134;1;1
Jūrmala;13000071301;Zemes un ēkas nekustams īpašums;255000;1688515;0.3895;7;732
Rīga;01000990413;Zemes nekustams īpašums;394;74798;0.2158;883;158056
Daugavpils nov.;44680060281;Zemes un ēkas nekustams īpašums;2000;1199;0.0645;1;1
Limbažu nov.;66760134210;Zemes un ēkas nekustams īpašums;34000;11523;0.059;1;1
Ķekavas nov.;80070033960;Zemes nekustams īpašums;6000;9709;0.0642;1;1
Liepāja;17000330004;Zemes nekustams īpašums;1163.16;30512;0.134;181;4748
Rīga;01000720004;Zemes nekustams īpašums;70.64;34228;0.1498;2927;194322
Liepāja;17000330004;Zemes nekustams īpašums;1163.16;30512;0.134;181;4748
Rīga;01001000073;Zemes un ēkas nekustams īpašums;9500;19605;0.0818;1;2
Rīga;01000262036;Zemes un ēkas nekustams īpašums;2000;383149;0.4508;1;250
Babītes nov.;80480080082;Zemes nekustams īpašums;1000;18846;0.2316;1;1
Rīga;01000930379;Zemes un ēkas nekustams īpašums;50000;21532;0.0772;1;1
Salaspils nov.;80310070282;Zemes nekustams īpašums;1500;1442;0.0506;1;1
Saldus nov.;84480010038;Zemes nekustams īpašums;5865;1301;2.27;1;1
Rīga;01000680283;Zemes un ēkas nekustams īpašums;2500;835763;2.5939;167;106311
Pārgaujas nov.;42740110174;Zemes un ēkas nekustams īpašums;110000;20078;2.2;1;1
Daugavpils nov.;44600040205;Zemes un ēkas nekustams īpašums;1500;1473;0.0616;1;1
Rīga;01000992244;Zemes nekustams īpašums;300;137336;0.3861;48533;4343534
Rīga;01000612077;Zemes nekustams īpašums;18;3009;0.0057;1;175
Rīga;01000912255;Zemes nekustams īpašums;2195.25;110857;0.4869;476;33241
Rīga;01000030082;Zemes nekustams īpašums;3612.5;168615;0.0297;104;14873
Rīga;01000930673;Zemes nekustams īpašums;1064.73;25537;0.1496;757;29920
Ventspils ;27000141108;Zemes un ēkas nekustams īpašums;30000;19818;0.087;1;1
Jūrmala;13000081802;Zemes nekustams īpašums;154038;260919;0.3644;77;1000
Saulkrastu nov.;80330020874;Zemes un ēkas nekustams īpašums;35000;20971;0.0604;1;1
Olaines nov.;80800220670;Zemes nekustams īpašums;2800;2149;0.0754;1;1
Daugavpils;05000094401;Zemes nekustams īpašums;302.93;12378;0.4084;400;22323
Limbažu nov.;66010010055;Zemes un ēkas nekustams īpašums;2500;722;0.0612;1;1
Liepāja;17000320010;Zemes un ēkas nekustams īpašums;2000;264862;0.1141;229;7481
Jelgavas nov.;54520030984;Zemes un ēkas nekustams īpašums;1900;5160;0.0715;1;2
Jelgavas nov.;54560070059;Zemes nekustams īpašums;80;80;0.1665;1;1
Olaines nov.;80800160464;Zemes nekustams īpašums;3800;1772;0.0641;1;1
Daugavpils nov.;44740010424;Zemes un ēkas nekustams īpašums;1300;1288;0.061;1;1
Rīga;01001132200;Zemes un ēkas nekustams īpašums;200;33039;0.2426;515;14122
Daugavpils;05000371934;Zemes un ēkas nekustams īpašums;12500;14296;0.0893;1;2
Rīga;01000782161;Zemes nekustams īpašums;700;40675;0.1985;205;12414
Babītes nov.;80480040540;Zemes nekustams īpašums;25500;9987;0.1068;1;1
Daugavpils;05000093101;Zemes nekustams īpašums;369.66;6272;0.1883;360;6031
Rīga;01000300016;Zemes un ēkas nekustams īpašums;460000;2625474;0.1505;1;5
Rīga;01000560213;Zemes nekustams īpašums;200;33330;0.1411;542;34359
Babītes nov.;80480010524;Zemes nekustams īpašums;125;52;0.0657;1;126
Baldones nov.;80250070010;Zemes nekustams īpašums;2900;1847;0.072;1;1
Liepāja;17000320151;Zemes nekustams īpašums;2000;7831;0.0917;1;32
Rīga;01000992167;Zemes nekustams īpašums;24800;134773;0.4337;121;22401
Olaines nov.;80800050124;Zemes nekustams īpašums;1;216;0.56;1;28
Rīga;01000910329;Zemes un ēkas nekustams īpašums;1500;369788;0.5865;290;56319
Liepāja;17000340132;Zemes nekustams īpašums;13900.25;8446;0.0848;91;125
Salaspils nov.;80110041617;Zemes un ēkas nekustams īpašums;1030;765266;2.7846;162;120497
Salaspils nov.;80110010295;Zemes nekustams īpašums;25480;9921;0.1267;1;1
Brocēnu nov.;84520020256;Zemes nekustams īpašums;1320;425;0.3034;1;1
Aizkraukles nov.;32010040833;Zemes nekustams īpašums;500;1064;0.0622;1;1
Olaines nov.;80800021015;Zemes nekustams īpašums;5840;3694;0.0595;1;1
Salaspils nov.;80310080431;Zemes nekustams īpašums;500;2988;0.06;1;2
Babītes nov.;80480030574;Zemes nekustams īpašums;121500;25102;0.2;1;1
Rēzekne;21000080316;Zemes nekustams īpašums;149;1286;0.0489;114;1129
Garkalnes nov.;80600030246;Zemes un ēkas nekustams īpašums;260000;85207;0.1522;1;1
Jelgava;09000190208;Zemes nekustams īpašums;2000;1543;0.0657;1;1
Siguldas nov.;80420010250;Zemes nekustams īpašums;3300;6637;0.0743;1;2
Carnikavas nov.;80520081264;Zemes un ēkas nekustams īpašums;6100;6805;0.0407;1;1
Ventspils ;27000270244;Zemes nekustams īpašums;1810;1810;0.0497;1;1
Jelgava;09000250423;Zemes nekustams īpašums;39790;25486;0.3979;1;2
Krāslavas nov.;60010021649;Zemes un ēkas nekustams īpašums;4095;4547;0.0777;1;1
Ludzas nov.;68010040006;Zemes un ēkas nekustams īpašums;6000;7956;0.0859;1;1
